Gene_enc,drug_name_pgx_enc,atc_level2_clean_enc,atc_level4_clean_enc,Significance_enc,pmid_n,is_rsid,is_starallele,has_copy_number,variant_len,sentence_len_w,notes_len_w,y_primary,y_toxicity,y_efficacy,y_metabolism,y_dosage,y_other,y_pd
8,139,5,8,2,1,1,0,0,8,18,1,1,1,0,0,0,0,0
247,39,18,33,3,1,0,1,0,18,23,29,0,0,0,1,0,0,0
648,65,13,23,2,1,1,0,0,9,15,29,1,1,0,0,0,0,0
29,53,13,23,4,1,1,0,0,7,8,78,1,1,0,1,0,0,0
247,41,5,8,3,1,0,1,0,50,22,88,0,0,0,1,0,0,0
430,4,12,22,4,1,0,1,0,11,10,80,1,1,0,0,0,0,0
641,80,18,33,3,1,1,0,0,9,19,37,0,0,1,0,0,0,0
244,30,1,2,0,1,1,0,0,9,7,6,0,0,1,0,0,0,0
244,96,14,28,4,1,0,1,0,31,21,52,0,0,0,1,0,0,0
118,35,5,8,2,1,1,0,0,10,24,1,1,1,0,0,0,0,0
246,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
419,75,4,5,2,1,0,0,0,26,19,11,0,0,0,1,0,0,0
278,21,13,23,4,1,1,0,0,9,22,11,0,0,1,0,0,0,0
58,144,18,33,4,0,1,0,0,8,30,44,0,0,1,0,0,0,0
116,124,18,33,4,1,1,0,0,8,15,76,0,0,0,0,0,0,1
414,9,18,33,4,1,1,0,0,9,20,45,1,1,0,0,0,0,0
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
247,32,13,23,0,1,1,0,0,9,7,6,0,0,0,1,0,0,0
253,15,3,4,4,1,1,0,0,10,14,23,0,0,0,1,0,0,0
613,28,16,30,4,1,1,0,0,8,18,66,0,0,1,0,0,0,0
632,122,5,8,2,1,1,0,0,9,17,6,1,1,0,0,0,0,0
201,104,5,8,2,1,1,0,0,10,17,20,1,1,1,0,0,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
448,121,15,29,4,1,1,0,0,9,20,94,0,0,1,0,0,0,0
190,95,18,33,2,1,1,0,0,8,17,15,0,0,0,0,0,1,0
244,11,1,2,2,1,0,1,0,20,17,65,1,1,1,0,0,0,0
651,86,17,32,2,1,1,0,0,8,21,35,0,0,0,0,1,0,0
237,63,18,33,2,1,1,0,0,9,17,20,1,1,1,0,0,0,0
278,65,13,23,2,1,1,0,0,9,15,29,1,1,0,0,0,0,0
246,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
4,107,16,30,2,1,1,0,0,9,33,35,0,0,1,0,0,0,0
632,122,5,8,2,1,1,0,0,9,24,4,1,1,0,0,0,0,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
632,74,9,17,4,1,1,0,0,10,21,55,1,1,0,1,0,0,0
838,139,5,8,2,1,1,0,0,9,19,1,0,0,0,1,0,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
247,138,10,18,1,1,1,0,0,9,7,6,0,0,1,0,0,0,0
246,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
482,104,5,8,2,1,1,0,0,8,17,20,1,1,1,0,0,0,0
247,32,13,23,0,1,1,0,0,9,7,6,0,0,0,1,0,0,0
64,95,18,33,2,1,1,0,0,9,17,29,0,0,1,0,0,0,0
803,122,5,8,2,1,1,0,0,8,26,31,0,0,1,0,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
949,139,5,8,2,1,1,0,0,10,19,6,0,0,0,1,0,0,0
208,127,18,33,4,1,1,0,0,9,18,8,0,0,0,0,0,0,1
247,138,10,18,1,1,1,0,0,9,7,6,0,0,1,0,0,0,0
247,138,10,18,1,1,1,0,0,9,7,6,0,0,1,0,0,0,0
453,58,16,30,4,1,1,0,0,8,21,53,0,0,1,0,0,0,0
247,138,10,18,1,1,1,0,0,9,7,6,0,0,1,0,0,0,0
632,74,9,17,4,1,1,0,0,10,16,57,1,1,0,1,0,0,0
965,127,18,33,4,0,1,0,0,9,18,8,0,0,0,0,0,0,1
279,45,16,31,4,1,1,0,0,8,21,10,0,0,1,0,0,0,0
247,41,5,8,3,1,0,1,0,51,23,50,0,0,0,1,0,0,0
909,72,11,19,4,1,1,0,0,8,30,25,0,0,1,0,0,0,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
649,65,13,23,2,1,1,0,0,10,14,31,1,1,0,0,0,0,0
216,127,18,33,4,1,1,0,0,10,18,82,0,0,1,0,0,0,0
4,36,11,20,4,1,1,0,0,9,19,29,1,1,0,1,0,0,0
603,75,4,5,4,1,0,1,0,6,13,8,0,0,0,1,0,0,0
238,40,18,33,4,1,1,0,0,8,20,30,0,0,0,1,0,0,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
29,53,13,23,4,1,1,0,0,9,9,80,1,1,0,1,0,0,0
648,93,5,8,2,1,1,0,0,9,20,31,0,0,1,0,0,0,0
376,27,6,12,4,1,1,0,0,10,21,5,0,0,1,0,0,0,0
667,66,5,8,4,1,1,0,0,10,21,78,0,0,1,0,0,0,0
190,95,18,33,2,1,1,0,0,8,17,25,0,0,0,0,0,1,0
246,112,14,25,4,1,0,1,0,18,14,34,0,0,0,1,0,0,0
244,30,1,2,4,1,0,1,0,54,30,35,0,0,0,1,0,0,0
953,15,3,4,4,1,1,0,0,8,14,42,0,0,0,1,0,0,0
96,87,6,9,4,1,1,0,0,10,15,35,1,1,0,0,0,0,0
28,53,18,33,4,1,1,0,0,9,9,80,1,1,0,1,0,0,0
988,45,16,31,4,1,1,0,0,9,20,28,0,0,1,0,0,0,0
278,65,13,23,2,1,1,0,0,9,15,18,1,1,0,0,0,0,0
258,63,18,33,2,1,1,0,0,10,21,18,1,1,1,0,0,0,0
29,53,13,23,4,1,1,0,0,7,9,80,1,1,0,1,0,0,0
244,30,1,2,0,1,1,0,0,9,7,6,0,0,1,0,0,0,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
305,101,18,33,4,1,1,0,0,9,22,25,0,0,1,0,0,0,0
386,152,1,1,2,1,1,0,0,11,14,29,0,0,0,0,1,0,0
137,19,18,33,4,1,1,0,0,9,22,26,0,0,1,0,0,0,0
486,99,0,0,4,1,1,0,0,7,22,48,0,0,1,0,0,0,0
837,87,6,9,2,1,1,0,0,10,16,1,0,0,0,0,0,1,0
136,9,18,33,4,1,1,0,0,9,18,48,0,0,1,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
276,57,6,11,0,1,1,1,0,27,12,7,1,1,0,0,0,0,0
305,118,18,33,2,1,1,0,0,9,23,55,0,0,1,0,0,0,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
276,56,6,11,4,1,1,0,0,10,20,92,0,0,0,0,1,0,0
420,98,6,12,4,1,1,0,0,9,19,18,0,0,0,1,0,0,0
10,139,5,8,4,1,1,0,0,9,17,24,1,1,0,0,0,0,0
847,89,5,8,4,1,1,0,0,9,16,8,0,0,0,0,0,0,1
236,107,16,30,4,1,1,0,0,8,20,7,0,0,0,1,0,0,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
236,31,18,33,2,1,0,1,0,8,14,86,1,1,0,1,0,0,0
29,53,13,23,4,1,1,0,0,9,9,80,1,1,0,1,0,0,0
250,55,13,23,2,1,0,1,0,9,13,19,0,0,0,0,0,0,1
86,18,3,4,4,1,1,0,0,10,21,79,0,0,1,0,0,0,0
813,89,5,8,4,1,1,0,0,11,21,4,0,0,1,0,0,0,0
774,102,14,26,2,1,1,0,0,10,20,25,0,0,1,0,0,0,0
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
278,65,13,23,2,1,1,0,0,6,15,29,1,1,0,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
538,128,18,33,2,1,1,0,0,8,23,59,0,0,1,0,0,0,0
250,36,11,20,4,1,1,0,0,10,17,37,1,1,0,1,0,0,0
364,102,14,26,2,1,1,0,0,9,26,8,0,0,1,0,0,0,0
246,152,1,1,4,1,0,1,0,8,16,1,0,0,0,1,1,0,0
247,89,5,8,4,1,0,1,0,48,20,107,1,1,0,1,0,0,0
603,75,4,5,4,1,1,0,0,9,18,50,1,1,0,1,0,0,0
246,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
569,108,5,8,4,1,1,0,0,9,27,55,0,0,1,0,0,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
